Tier,Tick,Accuracy,Precision,#TN,#FN,#TP,#FP,Recall (True positive rate),True Negative Rate,False Positive Rate,False Negative rate
1,0,0.9979217256240293,0.9790575916230366,45429,91,187,4,0.6726618705035972,0.9999119582682191,8.804173178086413e-05,0.3273381294964029
1,1,0.9980077936862385,0.961352657004831,45388,83,199,8,0.7056737588652482,0.9998237730196493,0.0001762269803506917,0.29432624113475175
1,2,0.9978877423045611,0.9714285714285714,45217,92,136,4,0.5964912280701754,0.9999115455208863,8.845447911368612e-05,0.40350877192982454
1,3,0.998473012149512,0.9724770642201835,45012,66,106,3,0.6162790697674418,0.9999333555481507,6.664445184938353e-05,0.38372093023255816
1,4,0.9988002132954141,0.9824561403508771,44842,52,112,2,0.6829268292682927,0.9999554009455,4.45990545000446e-05,0.3170731707317073
1,5,0.999509836686496,0.9807692307692307,44759,20,102,2,0.8360655737704918,0.9999553182457943,4.4681754205670113e-05,0.16393442622950818
1,6,0.9987437467752428,0.9318181818181818,44480,53,41,3,0.43617021276595747,0.9999325585054964,6.744149450351819e-05,0.5638297872340425
1,7,0.9989190649912174,0.9473684210526315,44304,45,54,3,0.5454545454545454,0.9999322906087075,6.770939129257228e-05,0.45454545454545453
1,8,0.9989619533330325,0.875,44226,40,42,6,0.5121951219512195,0.9998643516006511,0.00013564839934888768,0.4878048780487805
1,9,0.9988022869539671,0.8260869565217391,44179,49,19,4,0.27941176470588236,0.9999094674422289,9.053255777108842e-05,0.7205882352941176
1,10,0.9988682405667851,0.7222222222222222,44116,45,13,5,0.22413793103448276,0.9998866752793454,0.00011332472065456359,0.7758620689655172
1,11,0.9993654247121748,1.0,44085,28,11,0,0.28205128205128205,1.0,0.0,0.717948717948718
1,12,0.9992267455083012,0.8571428571428571,43930,33,6,1,0.15384615384615385,0.9999772370307983,2.276296920170267e-05,0.8461538461538461
1,13,0.9994957366828642,1.0,43601,22,5,0,0.18518518518518517,1.0,0.0,0.8148148148148148
1,14,0.9996744337472676,1.0,42977,14,11,0,0.44,1.0,0.0,0.56
1,15,0.9995687693155411,1.0,41719,18,4,0,0.18181818181818182,1.0,0.0,0.8181818181818182
1,16,0.9996418887808871,0.75,39077,13,3,1,0.1875,0.9999744101540509,2.5589845949127387e-05,0.8125
1,17,0.9996593328601845,0.8,35209,11,4,1,0.26666666666666666,0.9999715989775632,2.8401022436807727e-05,0.7333333333333333
1,18,0.9996902213196571,1.0,29040,9,4,0,0.3076923076923077,1.0,0.0,0.6923076923076923
1,19,0.9995633187772925,0.6666666666666666,20599,8,2,1,0.2,0.9999514563106796,4.854368932038835e-05,0.8
1,20,0.9992903887092959,1.0,12673,9,1,0,0.1,1.0,0.0,0.9
1,21,0.9993096306523991,1.0,5789,4,1,0,0.2,1.0,0.0,0.8
1,22,0.9979975971165399,0.0,2492,3,0,2,0.0,0.9991980753809142,0.0008019246190858059,1.0
1,23,0.9962264150943396,0.0,1056,2,0,2,0.0,0.998109640831758,0.001890359168241966,1.0
2,0,0.9982048250799072,0.99,45398,80,198,2,0.7122302158273381,0.9999559471365639,4.405286343612335e-05,0.28776978417266186
2,1,0.9986057937017284,1.0,45002,63,122,0,0.6594594594594595,1.0,0.0,0.34054054054054056
2,2,0.999041718666429,0.9787234042553191,44737,41,92,2,0.6917293233082706,0.9999552962739444,4.470372605556673e-05,0.3082706766917293
2,3,0.9988515065531685,0.975,44316,50,39,1,0.43820224719101125,0.9999774352957105,2.2564704289550287e-05,0.5617977528089888
2,4,0.9986892951571716,0.9,44175,56,18,2,0.24324324324324326,0.9999547275731716,4.5272426828440135e-05,0.7567567567567568
