Tier,Tick,Accuracy,Precision,#TN,#FN,#TP,#FP,Recall (True positive rate),True Negative Rate,False Positive Rate,False Negative rate
7,0,0.9989588755856325,0.9833333333333333,44078,45,59,1,0.5673076923076923,0.9999773134599242,2.2686540075773043e-05,0.4326923076923077
1,0,0.9978998490516506,0.976303317535545,45409,91,206,5,0.6936026936026936,0.9998899017923988,0.00011009820760118025,0.3063973063973064
7,1,0.9996068727886595,1.0,43214,17,12,0,0.41379310344827586,1.0,0.0,0.5862068965517241
7,2,0.9994429412700939,1.0,12556,7,3,0,0.3,1.0,0.0,0.7
8,0,0.9993865727592867,0.9682539682539683,43927,25,61,2,0.7093023255813954,0.9999544719888912,4.552801110883471e-05,0.29069767441860467
1,1,0.9981391479486843,0.9537037037037037,45387,75,206,10,0.7330960854092526,0.9997797211269467,0.00022027887305328545,0.2669039145907473
8,1,0.9996615578010927,1.0,41347,14,5,0,0.2631578947368421,1.0,0.0,0.7368421052631579
8,2,0.9971698113207547,0.0,1057,3,0,0,0.0,1.0,0.0,1.0
1,2,0.998239785253801,0.9745222929936306,45216,76,153,4,0.6681222707423581,0.9999115435647944,8.845643520566122e-05,0.3318777292576419
9,0,0.9993108834474204,0.9622641509433962,43453,28,51,2,0.6455696202531646,0.9999539753768266,4.602462317339777e-05,0.35443037974683544
1,3,0.9983402305972957,0.9454545454545454,45008,69,104,6,0.6011560693641619,0.9998667081352468,0.0001332918647531879,0.3988439306358382
9,1,0.9995366079703429,1.0,34508,16,4,0,0.2,1.0,0.0,0.8
1,4,0.9988002132954141,0.9426229508196722,44839,47,115,7,0.7098765432098766,0.9998439102707042,0.00015608972929581234,0.29012345679012347
10,0,0.9994984040127679,0.9761904761904762,43797,21,41,1,0.6612903225806451,0.9999771679072104,2.2832092789625095e-05,0.3387096774193548
10,1,0.9996579024533281,1.0,20450,7,5,0,0.4166666666666667,1.0,0.0,0.5833333333333334
1,5,0.9989751130717643,0.9537037037037037,44734,41,103,5,0.7152777777777778,0.999888240684861,0.00011175931513891683,0.2847222222222222
11,0,0.9994341202833925,0.9629629629629629,44128,24,26,1,0.52,0.9999773391647216,2.266083527838836e-05,0.48
11,1,0.9984464008285863,0.0,5784,9,0,0,0.0,1.0,0.0,1.0
1,6,0.9987437467752428,0.927536231884058,44457,51,64,5,0.5565217391304348,0.9998875444199541,0.00011245558004588187,0.4434782608695652
12,0,0.9995467319372677,1.0,44082,20,22,0,0.5238095238095238,1.0,0.0,0.47619047619047616
12,1,0.9981132075471698,0.0,1058,2,0,0,0.0,1.0,0.0,1.0
1,7,0.9984911948835743,0.95,44301,65,38,2,0.36893203883495146,0.999954856330271,4.5143669728912266e-05,0.6310679611650486
13,0,0.9996816010916534,1.0,43935,14,21,0,0.6,1.0,0.0,0.4
1,8,0.9986911585503453,1.0,44222,58,34,0,0.3695652173913043,1.0,0.0,0.6304347826086957
14,0,0.9996332630420831,1.0,43602,16,10,0,0.38461538461538464,1.0,0.0,0.6153846153846154
1,9,0.999186459063072,0.875,44187,32,28,4,0.4666666666666667,0.9999094838315494,9.051616845058948e-05,0.5333333333333333
15,0,0.9996046695502535,1.0,42975,17,10,0,0.37037037037037035,1.0,0.0,0.6296296296296297
1,10,0.9992304035854139,0.9583333333333334,44122,33,23,1,0.4107142857142857,0.9999773360832219,2.266391677809759e-05,0.5892857142857143
16,0,0.9996166838360365,1.0,41721,16,4,0,0.2,1.0,0.0,0.8
1,11,0.9992294442933551,0.9047619047619048,44071,32,19,2,0.37254901960784315,0.9999546207428585,4.5379257141560595e-05,0.6274509803921569
17,0,0.9995868515505978,1.0,38706,16,5,0,0.23809523809523808,1.0,0.0,0.7619047619047619
1,12,0.9994769160791449,1.0,43937,23,10,0,0.30303030303030304,1.0,0.0,0.696969696969697
18,0,0.9996877217885025,1.0,35211,11,3,0,0.21428571428571427,1.0,0.0,0.7857142857142857
19,0,0.9997246411730286,1.0,29040,8,5,0,0.38461538461538464,1.0,0.0,0.6153846153846154
20,0,0.999611838913149,1.0,20600,8,2,0,0.2,1.0,0.0,0.8
1,13,0.9995874209223434,1.0,43603,18,7,0,0.28,1.0,0.0,0.72
21,0,0.9991967226283236,1.0,12437,10,2,0,0.16666666666666666,1.0,0.0,0.8333333333333334
22,0,0.9984466689678978,0.0,5785,9,0,0,0.0,1.0,0.0,1.0
23,0,0.9987985582699239,0.0,2494,3,0,0,0.0,1.0,0.0,1.0
24,0,0.9990566037735849,0.0,1059,1,0,0,0.0,1.0,0.0,1.0
1,14,0.9996046695502535,0.8571428571428571,42979,16,6,1,0.2727272727272727,0.9999767333643556,2.326663564448581e-05,0.7272727272727273
1,15,0.9993771112335593,0.5,41713,24,2,2,0.07692307692307693,0.9999520556154861,4.79443845139638e-05,0.9230769230769231
1,16,0.9997186268992684,1.0,39076,11,7,0,0.3888888888888889,1.0,0.0,0.6111111111111112
1,17,0.9996593328601845,1.0,35211,12,2,0,0.14285714285714285,1.0,0.0,0.8571428571428571
1,18,0.9996902213196571,1.0,29042,9,2,0,0.18181818181818182,1.0,0.0,0.8181818181818182
1,19,0.9995633187772925,0.75,20598,8,3,1,0.2727272727272727,0.9999514539540755,4.854604592455944e-05,0.7272727272727273
1,20,0.9992115430103288,1.0,12671,10,2,0,0.16666666666666666,1.0,0.0,0.8333333333333334
1,21,0.9986192613047981,0.0,5786,8,0,0,0.0,1.0,0.0,1.0
1,22,0.9987985582699239,0.0,2494,3,0,0,0.0,1.0,0.0,1.0
1,23,0.9962264150943396,0.0,1056,4,0,0,0.0,1.0,0.0,1.0
2,0,0.9977450851613469,0.967741935483871,45395,97,180,6,0.6498194945848376,0.9998678443206097,0.0001321556793903218,0.35018050541516244
2,1,0.9986943147365392,0.9457364341085271,45006,52,122,7,0.7011494252873564,0.9998444893697376,0.00015551063026236864,0.2988505747126437
2,2,0.9986851488678908,0.9629629629629629,44735,56,78,3,0.582089552238806,0.9999329429120658,6.705708793419464e-05,0.417910447761194
2,3,0.9988289870738188,0.9523809523809523,44314,50,40,2,0.4444444444444444,0.9999548695730661,4.5130426933838797e-05,0.5555555555555556
2,4,0.9990960656256356,1.0,44180,40,31,0,0.43661971830985913,1.0,0.0,0.5633802816901409
2,5,0.9995240145968857,1.0,44087,21,11,0,0.34375,1.0,0.0,0.65625
2,6,0.9995874020079769,0.7142857142857143,43603,16,5,2,0.23809523809523808,0.9999541337002638,4.5866299736268775e-05,0.7619047619047619
2,7,0.9998083327343731,0.8333333333333334,41726,7,5,1,0.4166666666666667,0.9999760347017519,2.39652982481367e-05,0.5833333333333334
2,8,0.9998012718600954,1.0,35212,7,5,0,0.4166666666666667,1.0,0.0,0.5833333333333334
2,9,0.9998059100393032,1.0,20603,4,2,0,0.3333333333333333,1.0,0.0,0.6666666666666666
2,10,0.9993095114793716,1.0,5788,4,1,0,0.2,1.0,0.0,0.8
2,11,0.9971698113207547,0.0,1057,3,0,0,0.0,1.0,0.0,1.0
3,0,0.9988459575223596,0.9944444444444445,44828,51,179,1,0.7782608695652173,0.9999776930112204,2.2306988779584644e-05,0.2217391304347826
3,1,0.9988534430430971,0.96,44358,48,72,3,0.6,0.9999323730303645,6.762696963549064e-05,0.4
3,2,0.9989527127017735,0.9142857142857143,43845,43,32,3,0.4266666666666667,0.9999315818281336,6.841817186644773e-05,0.5733333333333334
3,3,0.999359751217616,0.9333333333333333,43691,27,14,1,0.34146341463414637,0.9999771125148769,2.288748512313467e-05,0.6585365853658537
3,4,0.9996246070104641,1.0,42601,16,5,0,0.23809523809523808,1.0,0.0,0.7619047619047619
3,5,0.9997419502824211,1.0,34865,9,3,0,0.25,1.0,0.0,0.75
3,6,0.9995225210886519,1.0,12559,6,1,0,0.14285714285714285,1.0,0.0,0.8571428571428571
3,7,1.0,0.0,1060,0,0,0,0.0,1.0,0.0,0
4,0,0.9984820412081166,0.9850746268656716,44597,66,132,2,0.6666666666666666,0.9999551559452006,4.484405479943497e-05,0.3333333333333333
4,1,0.9986141088265365,0.9791666666666666,43907,60,47,1,0.4392523364485981,0.999977225107042,2.27748929580031e-05,0.5607476635514018
4,2,0.9993368851896737,1.0,43687,29,17,0,0.3695652173913043,1.0,0.0,0.6304347826086957
4,3,0.9995890344727554,1.0,41344,17,5,0,0.22727272727272727,1.0,0.0,0.7727272727272727
4,4,0.999853386765712,0.0,20459,3,0,0,0.0,1.0,0.0,1.0
4,5,1.0,0.0,1060,0,0,0,0.0,1.0,0.0,0
5,0,0.9988002132954141,0.9469026548672567,44847,48,107,6,0.6903225806451613,0.9998662296836333,0.0001337703163667982,0.3096774193548387
5,1,0.9992768525005085,1.0,44177,32,42,0,0.5675675675675675,1.0,0.0,0.43243243243243246
5,2,0.9996744337472676,1.0,42979,14,9,0,0.391304347826087,1.0,0.0,0.6086956521739131
5,3,0.9995633187772925,0.0,20601,9,0,0,0.0,1.0,0.0,1.0
6,0,0.9989302906043858,0.9795918367346939,44728,46,96,2,0.676056338028169,0.9999552872792309,4.47127207690588e-05,0.323943661971831
6,1,0.9992747710996284,0.8947368421052632,44075,30,17,2,0.3617021276595745,0.9999546248610386,4.537513896136307e-05,0.6382978723404256
6,2,0.9997161026572792,1.0,35209,10,5,0,0.3333333333333333,1.0,0.0,0.6666666666666666
6,3,0.9981132075471698,0.0,1058,2,0,0,0.0,1.0,0.0,1.0
7,0,0.9991852069800602,0.9696969696969697,44083,34,64,2,0.6530612244897959,0.9999546330951571,4.536690484291709e-05,0.3469387755102041
7,1,0.9995374973984229,1.0,43209,20,14,0,0.4117647058823529,1.0,0.0,0.5882352941176471
7,2,0.9990450421773038,1.0,12553,12,1,0,0.07692307692307693,1.0,0.0,0.9230769230769231
8,0,0.9988413041008747,1.0,43896,51,68,0,0.5714285714285714,1.0,0.0,0.42857142857142855
8,1,0.9996857322438718,1.0,41347,13,6,0,0.3157894736842105,1.0,0.0,0.6842105263157895
8,2,0.9971698113207547,0.0,1057,3,0,0,0.0,1.0,0.0,1.0
9,0,0.9992190012404097,1.0,43453,34,47,0,0.5802469135802469,1.0,0.0,0.41975308641975306
9,1,0.9996524559777572,1.0,34514,12,2,0,0.14285714285714285,1.0,0.0,0.8571428571428571
10,0,0.9993388052895577,0.98,43782,28,49,1,0.6363636363636364,0.9999771600849645,2.2839915035516067e-05,0.36363636363636365
10,1,0.9995112892190402,1.0,20449,10,3,0,0.23076923076923078,1.0,0.0,0.7692307692307693
11,0,0.9993662147173996,1.0,44121,28,30,0,0.5172413793103449,1.0,0.0,0.4827586206896552
11,1,0.9998273778698429,0.0,5792,1,0,0,0.0,1.0,0.0,1.0
12,0,0.9995014051309945,1.0,44080,22,22,0,0.5,1.0,0.0,0.5
12,1,0.9981132075471698,0.0,1058,2,0,0,0.0,1.0,0.0,1.0
13,0,0.9995906299749829,1.0,43935,18,17,0,0.4857142857142857,1.0,0.0,0.5142857142857142
14,0,0.9996103419822132,1.0,43601,17,10,0,0.37037037037037035,1.0,0.0,0.6296296296296297
15,0,0.9996744337472676,0.75,42982,12,6,2,0.3333333333333333,0.9999534710589987,4.652894100130281e-05,0.6666666666666666
16,0,0.9997604273975228,1.0,41724,10,7,0,0.4117647058823529,1.0,0.0,0.5882352941176471
17,0,0.9995093862163349,1.0,38701,19,7,0,0.2692307692307692,1.0,0.0,0.7307692307692307
18,0,0.9995457771469127,1.0,35205,16,4,0,0.2,1.0,0.0,0.8
19,0,0.9996213816129144,1.0,29041,11,1,0,0.08333333333333333,1.0,0.0,0.9166666666666666
20,0,0.9995633187772925,1.0,20600,9,1,0,0.1,1.0,0.0,0.9
21,0,0.9995983613141618,1.0,12441,5,3,0,0.375,1.0,0.0,0.625
22,0,0.9989644459785986,0.0,5788,6,0,0,0.0,1.0,0.0,1.0
23,0,0.9975971165398478,0.0,2491,6,0,0,0.0,1.0,0.0,1.0
24,0,0.9990566037735849,0.0,1059,1,0,0,0.0,1.0,0.0,1.0
